"C.ID","reco1","reco2","reco3","target","match"
"AT93647","Bear Edge","Bear Survival Edge","Bella","Canyon Mule Weekender Backpack",0
"AT936471","Bear Edge","Bear Survival Edge","Bella","Firefly Extreme",0
"AU45793","Bear Edge","Bear Survival Edge","Bella","Granite Ice",0
"AU457931","Bear Edge","Bear Survival Edge","Bella","Mountain Man Digital",0
"BD58297","Bear Edge","Bear Survival Edge","Bella","Hibernator Camp Cot",0
"BD582971","Bear Edge","Bear Survival Edge","Bella","Kodiak",0
"BH36973","Bear Edge","Bear Survival Edge","Bella","Granite Signal Mirror",0
"BH369731","Bear Edge","Bear Survival Edge","Bella","Star Gazer 3",0
"CN22369","Bear Edge","Bear Survival Edge","Bella","BugShield Extreme",0
"CN223691","Bear Edge","Bear Survival Edge","Bella","Husky Rope 50",0
"DU60004","Bear Edge","Bear Survival Edge","Bella","Blue Steel Max Putter",0
"DU600041","Bear Edge","Bear Survival Edge","Bella","BugShield Extreme",0
"DU66620","Bear Edge","Bear Survival Edge","Bella","Dante",0
"DU666201","Bear Edge","Bear Survival Edge","Bella","Sam",0
"EE49066","Bear Edge","Bear Survival Edge","Bella","Hailstorm Titanium Woods Set",0
"EE490661","Bear Edge","Bear Survival Edge","Bella","Trendi",0
"EF84269","Bear Edge","Bear Survival Edge","Bella","Canyon Mule Extreme Backpack",0
"EF842691","Bear Edge","Bear Survival Edge","Bella","Mountain Man Extreme",0
"EH13261","Bear Edge","Bear Survival Edge","Bella","Cat Eye",0
"EH132611","Bear Edge","Bear Survival Edge","Bella","Lux",0
"EL61402","Bear Edge","Bear Survival Edge","Bella","Bear Edge",1
"EL614021","Bear Survival Edge","Bella","Blue Steel Max Putter","Granite Axe",0
"EO40136","Bear Edge","Bear Survival Edge","Bella","BugShield Spray",0
"EO401361","Bear Edge","Bear Survival Edge","Bella","Husky Rope 60",0
"EO91797","Bear Edge","Bear Survival Edge","Bella","Hibernator",0
"EO917971","Bear Edge","Bear Survival Edge","Bella","TrailChef Water Bag",0
"FU43761","Bear Edge","Bear Survival Edge","Bella","Granite Carabiner",0
"FU437611","Bear Edge","Bear Survival Edge","Bella","Mountain Man Digital",0
